Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
905,7715.6,265.168,0.689,86.354,210.318,398.122,571.427,676.869,912.26,1590.125,0.004
910,7133.2,288.838,0.851,98.222,230.844,428.37,620.122,733.905,984.226,1782.768,0.003
915,6979.2,293.801,0.67,91.87,231.639,447.535,636.283,752.1,1010.471,1774.116,0.003
920,5326.6,867.507,1.035,106.445,260.375,536.755,918.532,7464.528,7956.262,8774.967,0.001
925,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
930,6899,213.805,0.564,73.477,177.999,311.847,452.43,552.078,758.657,1438.336,0.005
935,9361.4,219.835,0.628,75.761,180.373,328.182,467.879,552.386,728.631,1430.884,0.005
940,8748.4,243.526,0.626,76.835,193.845,364.91,525.434,632.429,841.185,1497.168,0.004
945,7829.8,253.227,0.76,80.626,204.237,381.083,549.414,649.419,852.272,1343.492,0.004
950,6871.2,423.141,0.79,103.052,246.477,457.97,717.451,2512.82,2918.137,4041.069,0.002
955,3689.6,351.545,1.147,107.382,274.21,497.957,696.008,821.242,1202.797,5403.869,0.003
960,1829.8,1054.798,1.085,125.518,292.78,676.561,4003.674,4140.577,4350.948,5192.888,0.001
965,8729.2,233.425,0.643,73.478,184.262,346.906,504.645,606.979,858.923,1511.036,0.004
970,8654.8,239.34,0.609,80.335,192.509,354.034,513.155,615.183,831.519,1522.477,0.004
975,8143.8,251.545,0.643,83.623,201.282,370.778,541.894,648.552,865.215,1748.643,0.004
980,7364.4,274.7,0.659,90.071,222.228,415.54,586.745,691.427,928.464,1856.684,0.004
985,6920,303.515,0.668,91.38,237.074,458.387,659.505,791.992,1075.243,1954.12,0.003
990,6196,323.392,0.62,93.042,249.784,467.135,742.459,952.39,1192.76,2293.063,0.003
995,8789.4,234.473,0.684,77.572,182.431,348.15,512.995,615.004,818.149,1441.256,0.004
1000,8080.2,253.368,0.534,80.36,204.842,381.238,543.888,647.593,858.081,1505.968,0.004
1005,7428.4,274.622,0.774,93,219.983,410.623,589.178,695.284,911.179,1627.912,0.004
1010,3632.4,759.348,0.588,97.864,235.357,471.546,4452.755,4729.642,5142.883,5752.993,0.001
1015,4202,326.541,0.828,115.315,266.045,478.128,661.295,772.956,1023.265,5438.634,0.003
1020,1466.4,1371.139,1.046,121.185,279.098,4194.975,4504.945,4662.064,4887.764,5416.366,0.001
1025,8456.6,241.277,0.546,71.307,188.221,358.747,535.864,649.779,873.67,1598.616,0.004
1030,8272.6,247.581,0.849,79.668,196.796,371.892,531.016,637.719,867.274,1716.774,0.004
1035,7975,256.944,0.896,87.378,208.885,374.297,553.5,662.286,900.141,1734.361,0.004
1040,7422.8,278.379,0.799,89.135,221.138,421.324,601.688,712.316,935.223,1527.021,0.004
1045,7055.4,293.289,0.675,89.716,226.772,447.091,644.316,770.268,1013.474,1655.696,0.003
1050,6488,314.512,0.739,99.402,252.391,474.557,679.965,806.023,1055.977,2153.828,0.003
1055,6153.8,329.672,0.935,98.662,254.402,499.688,729.748,876.907,1178.797,2185.246,0.003
1060,6200.8,336.105,0.869,108.498,264.629,514.516,717.505,848.521,1119.752,1976.421,0.003
1065,5803.2,349.504,0.79,109.131,272.417,537.47,752.261,891.308,1183.259,1908.314,0.003
1070,5549.4,366.741,1,114.178,275.334,560.5,806.237,953.902,1262.487,2370.315,0.003
1075,7615,271.419,0.843,88.676,214.16,410.278,587.482,697.28,906.299,1817.334,0.004
1080,6743.4,617.641,0.663,102.415,244.356,465.747,732.976,5567.606,6108.538,6797.672,0.002
1085,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
1090,4839,999.575,0.717,113.865,281.308,553.417,979.435,8353.106,8792.743,9825.669,0.001
1095,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
1100,4946,240.991,1.165,74.217,198.648,361.722,515.01,613.46,816.086,1461.265,0.004
1105,9116.4,227.112,0.681,75.089,183.497,339.175,485.834,578.106,759.248,1705.636,0.004
1110,8130.4,252.337,0.64,90.474,203.704,377.708,533.541,630.088,844.655,1506.314,0.004
1115,7669.2,264.732,0.925,86.352,207.968,397.018,577.107,684.897,905.371,1887.037,0.004
1120,7269,280.862,0.767,96.539,229.701,419.566,596.37,704.88,936.171,1659.051,0.004
1125,6830.4,305.731,0.744,90.716,233.632,468.925,673.482,791.491,1062.486,1842.272,0.003
1130,6535.2,313.322,1.008,102.985,249.382,472.389,669.876,797.461,1058.775,1842.628,0.003
1135,6027.6,337.114,0.756,108.685,267.414,515.61,720.927,841.405,1123.102,2024.385,0.003
1140,5759.8,363.892,1.038,122.093,284.304,549.672,764.34,916.881,1262.791,2240.303,0.003
1145,5797.6,348.509,0.696,104.478,269.009,533.67,760.096,912.988,1230.178,2523.501,0.003
1150,5382.6,378.196,0.937,126.737,303.305,573.634,795.062,928.203,1242.4,2185.117,0.003
1155,5232.8,394.762,0.95,120.924,308.809,605.041,839.846,993.324,1387.398,2585.04,0.003
1160,4877.6,419.896,1.349,132.544,324.68,648.109,896.146,1041.759,1422.067,2337.951,0.002
1165,6970.8,295.095,0.521,96.593,228.775,431.013,643.218,780.8,1103.016,2090.252,0.003
1170,7021.4,285.878,0.613,103.396,230.831,425.353,600.836,711.097,960.004,1579.533,0.003
1175,4617.2,668.772,1.05,96.308,246.284,486.821,918.588,4677.63,4989.812,5913.899,0.001
1180,2956,343.218,1.845,127.391,284.859,510.611,715.61,841.372,1083.398,1920.136,0.003
1185,4804,739.366,0.899,95.229,263.403,531.657,994.68,5419.849,5724.688,6871.606,0.001
1190,2013.4,264.717,0.668,109.089,232.669,370.622,551.551,667.17,856.759,1419.196,0.004
1195,9046,224.433,0.784,79.997,187.609,330.212,468.477,563.341,747.088,1284.145,0.004
1200,8508,242.77,0.776,81.528,199.174,361.94,518.347,616.239,798.021,1417.297,0.004
1205,7921.4,256.779,0.669,84.547,206.138,384.419,550.809,653.496,866.862,1595.449,0.004
1210,7257.6,285.76,0.69,95.251,232.548,426.953,607.216,718.662,959.192,1623.388,0.003
1215,7139.2,287.45,0.808,88.456,230.174,436.056,624.683,745.65,979.044,1555.758,0.003
1220,6215.4,338.564,0.655,107.727,261.753,503.535,703.515,828.183,1118.274,8154.21,0.003
1225,1570.6,1911.178,0.831,49.509,236.673,6515.701,6932.764,7077.838,7390.145,7838.423,0.001
1230,4306.8,241.457,0.524,58.749,178.932,368.292,558.611,679.251,913.589,1590.952,0.004
1235,8060.8,248.933,0.739,77.524,192.425,368.625,551.666,665.514,898.186,1601.643,0.004
1240,8423.6,245.47,0.57,78.697,193.966,367.017,534.606,637.573,855.263,1489.694,0.004
1245,7845.4,260.262,0.906,80.835,205.654,393.578,568.405,673.711,906.362,1635.402,0.004
1250,6984.4,293.378,0.824,101.251,239.062,438.547,623.718,732.353,971.657,1648.333,0.003
1255,6886.4,299.188,0.738,90.533,233.842,456.005,653.207,778.638,1041.735,1870.14,0.003
1260,6440,313.745,0.777,105.386,248.031,476.47,674.649,785.915,1023.376,1810.704,0.003
1265,6118.6,343.854,1.157,124.946,280.315,509.731,712.025,844.166,1125.717,2303.027,0.003
1270,5796.8,355.42,0.648,99.786,272.389,543.264,803.959,956.016,1268.309,2136.176,0.003
1275,7854.6,252.868,0.733,74.173,192.256,377.832,564.279,689.069,930.07,1699.614,0.004
1280,5046.2,402.702,0.656,87.687,215.169,448.322,785.401,2025.676,2395.741,3081.172,0.002
1285,7036.4,292.281,0.697,85.087,208.168,389.472,636.671,959.122,1268.119,2177.832,0.003
1290,7528.8,271.585,0.677,89.323,216.265,408.08,586.791,691.476,916,1824.807,0.004
1295,6781.8,574.715,0.951,96.443,237.607,451.709,722.529,5045.53,5546.009,6382.63,0.002
1300,555.2,433.975,2.011,198.495,391.905,620.272,834.705,983.657,1254.17,1541.785,0.002
1305,3851.2,1048.884,1.076,99.731,271.147,560.667,7066.905,7335.748,7670.885,8396.111,0.001
1310,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
1315,9639.6,213.004,0.544,65.488,173.621,319.95,459.448,548.11,731.928,1441.836,0.005
1320,8755.6,235.116,0.651,74.378,186.859,351.447,509.848,618.128,830.31,1508.918,0.004
1325,8218.6,249.238,0.691,75.648,188.832,368.178,554.675,672.618,922.948,1639.715,0.004
1330,7715.6,265.177,0.692,84.247,212.552,394.946,571.612,682.819,910.959,1507.35,0.004
1335,6951,298.06,1.034,94.387,236.843,447.334,640.027,766.908,1032.493,1779.597,0.003
1340,6731.6,306.008,0.822,101.512,248.352,464.85,652.748,767.302,1008.08,2116.119,0.003
1345,6317.2,322.47,0.66,100.487,249.267,492.501,702.99,830.803,1104.039,1859.258,0.003
1350,6150.6,334.426,0.806,119.023,267.999,505.14,695.117,817.672,1102.981,1833.867,0.003
1355,3714.2,1088.448,0.734,126.259,338.747,646.686,6805.627,7029.656,7456.4,8754.748,0.001
1360,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
1365,9150.4,227.669,0.725,73.175,188.279,336.336,485.356,587.861,772.549,1362.658,0.004
1370,8347,242.611,0.622,83.161,198.254,356.871,519.47,626.258,834.94,1627.03,0.004
1375,7826.6,270.137,0.844,90.838,218.286,390.373,582.203,708.758,967.32,1736.638,0.004
1380,7204.6,274.638,0.66,96.297,222.802,411.737,579.079,687.112,896.033,1443.254,0.004
