Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
480,8003.6,254.382,0.772,84.212,205.012,380.091,545.552,644.623,847.56,1508.458,0.004
485,7281.2,395.21,0.812,90.876,223.338,433.503,686.408,2376.957,2877.237,3640.871,0.003
490,3871.6,319.706,0.699,109.315,262.304,482.472,673.107,787.994,1039.116,1698.335,0.003
495,6564.4,541.692,0.725,98.043,250.524,498.808,832.623,4033.289,4424.318,5166.693,0.002
500,2032.2,262.709,0.787,96.915,227.86,371.178,535.539,651.004,861.558,1274.519,0.004
505,8980.8,225.113,0.493,75.504,184.262,336.537,482.112,571.29,754.431,1488.753,0.004
510,8597.6,240.017,0.633,79.806,195.058,358.399,513.536,606.244,810.106,1268.563,0.004
515,7973.6,257.127,0.766,86.625,208.816,387.671,547.757,647.423,858.641,1816.066,0.004
520,7172.4,290.414,0.742,101.669,233.354,431.437,611.954,730.104,992.605,1981.193,0.003
525,6939.2,287.106,0.747,89.108,224.755,434.055,632.031,749.057,989.463,1672.341,0.003
530,6636.4,314.582,1.051,102.048,248.4,478.996,682.735,801.119,1043.917,1870.684,0.003
535,6223.8,391.098,0.785,110.792,269.015,536.094,861.758,1303.502,1822.738,2877.872,0.003
540,4464.4,1086.068,0.606,122.943,301.711,616.238,1184.218,8378.453,8823.215,9845.449,0.001
545,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
550,3663.4,236.012,0.732,65.885,185.992,360.869,522.36,625.685,840.608,1322.874,0.004
555,9121.8,224.933,0.505,67.241,178.122,333.216,494.822,598.162,805.022,1820.36,0.004
560,8587,240.445,0.603,70.54,186.75,360.799,533.092,643.273,872.94,1720.349,0.004
565,7917.4,258.616,0.824,78.9,205.715,393.832,560.018,664.875,893.53,1624.031,0.004
